INVOICE_NUM,VENDOR_CODE,INVOICE_DATE,Monthly_Cost,CURRENCY,ServiceCategory,UsageType,PAYMENT_TERM,STATUS,DUE_DATE,PAID_DATE,COMPANY_CODE,COST_CENTER,GL_ACCOUNT,FISCAL_YEAR,FISCAL_PERIOD
INV-2024-1000,AWS-GLOBAL,2025-09-28,52998.11,USD,DataTransfer,GB-Transfer,NET30,OVERDUE,2025-10-28,2025-10-23,CC-3795,CC-OPS,GL-861784,2024,09
INV-2024-1001,AWS-GLOBAL,2025-07-10,96906.64,USD,DataTransfer,GB-Transfer,NET45,PENDING,2025-08-09,,CC-3291,CC-OPS,GL-843101,2024,07
INV-2024-1002,AWS-GLOBAL,2025-08-12,13859.63,USD,EC2-Instance,GB-Month,NET30,PAID,2025-09-11,2025-09-18,CC-7278,CC-ENG,GL-108999,2024,08
INV-2024-1003,AWS-GLOBAL,2025-08-07,68711.54,USD,EC2-Instance,API-Requests,NET45,PENDING,2025-09-06,2025-09-10,CC-8030,CC-OPS,GL-176495,2024,08
INV-2024-1004,AWS-GLOBAL,2025-09-12,36799.14,USD,EC2-Instance,Instance-Hours,NET30,PAID,2025-10-12,2025-10-09,CC-8572,CC-OPS,GL-791756,2024,09
INV-2024-1005,AWS-GLOBAL,2025-08-05,11514.78,USD,RDS-Database,GB-Month,NET60,OVERDUE,2025-09-04,2025-08-31,CC-1304,CC-OPS,GL-240061,2024,08
INV-2024-1006,AWS-GLOBAL,2025-10-16,97489.32,USD,S3-Storage,API-Requests,NET60,OVERDUE,2025-11-15,,CC-8568,CC-ENG,GL-780573,2024,10
INV-2024-1007,AWS-GLOBAL,2025-09-13,92339.52,USD,EC2-Instance,GB-Month,NET45,PENDING,2025-10-13,2025-10-04,CC-6723,CC-ENG,GL-739732,2024,09
INV-2024-1008,AWS-GLOBAL,2025-08-06,80762.73,USD,RDS-Database,GB-Transfer,NET45,OVERDUE,2025-09-05,2025-08-26,CC-5699,CC-ENG,GL-775634,2024,08
INV-2024-1009,AWS-GLOBAL,2025-06-23,55138.1,USD,S3-Storage,API-Requests,NET30,PAID,2025-07-23,,CC-4456,CC-ENG,GL-551749,2024,06
INV-2024-1010,AWS-GLOBAL,2025-08-04,72318.52,USD,DataTransfer,GB-Month,NET60,PAID,2025-09-03,2025-09-13,CC-9122,CC-DATA,GL-695414,2024,08
INV-2024-1011,AWS-GLOBAL,2025-09-18,60722.21,USD,RDS-Database,GB-Month,NET45,PAID,2025-10-18,,CC-5515,CC-ENG,GL-953436,2024,09
INV-2024-1012,AWS-GLOBAL,2025-06-24,20027.43,USD,RDS-Database,GB-Transfer,NET30,PAID,2025-07-24,,CC-2241,CC-OPS,GL-779247,2024,06
INV-2024-1013,AWS-GLOBAL,2025-08-17,94249.82,USD,DataTransfer,GB-Transfer,NET30,PENDING,2025-09-16,2025-09-12,CC-3606,CC-DATA,GL-763671,2024,08
INV-2024-1014,AWS-GLOBAL,2025-06-27,93379.23,USD,RDS-Database,Instance-Hours,NET45,OVERDUE,2025-07-27,2025-07-29,CC-8029,CC-OPS,GL-255790,2024,06
