RESOURCE_ID,RESOURCE_TYPE,SERVICE,AWS_REGION,ACCOUNT_NUM,ENVIRONMENT,COST_CENTER,INSTANCE_TYPE,VCPUS,MEMORY_GB,STORAGE_TYPE,STORAGE_SIZE_GB,NETWORK_PERFORMANCE,EBS_OPTIMIZED,TENANCY,PLACEMENT_GROUP,AMI_ID,LAUNCH_TIME,INSTANCE_STATE,AVAILABILITY_ZONE,SUBNET_ID,VPC_ID,SECURITY_GROUPS,PUBLIC_IP,PRIVATE_IP,IAM_ROLE,MONITORING_ENABLED,TAGS,OWNER,PROJECT,COMPLIANCE_LEVEL,BACKUP_ENABLED,PATCH_GROUP,AUTO_SCALING_GROUP,DB_ENGINE,ENGINE_VERSION,INSTANCE_CLASS,ALLOCATED_STORAGE_GB,IOPS,MULTI_AZ,BACKUP_RETENTION_DAYS,PREFERRED_BACKUP_WINDOW,READ_REPLICAS,ENCRYPTION_ENABLED,PERFORMANCE_INSIGHTS,AUTO_MINOR_VERSION_UPGRADE,DB_SUBNET_GROUP,PARAMETER_GROUP,OPTION_GROUP,PUBLICLY_ACCESSIBLE,VPC_SECURITY_GROUPS,DELETION_PROTECTION,STORAGE_CLASS,OBJECT_COUNT,SIZE_GB,VERSIONING_ENABLED,LIFECYCLE_POLICY,ENCRYPTION_TYPE,REPLICATION_STATUS,ACCESS_LOGGING,INTELLIGENT_TIERING,PUBLIC_ACCESS_BLOCKED,SCHEME,IP_ADDRESS_TYPE,AVAILABILITY_ZONES,HTTP2_ENABLED
db-94356,rds-instance,RDS,us-west-2,123456789012,dev,ml,,,,gp3,,,,,,,,,us-west-2b,,,,,,,,env:dev|team:ml|managed:terraform,ml@company.com,project-gamma,hipaa,,,,mysql,8.0.35,db.t3.medium,100,3000,true,7,03:00-04:00,0,true,false,false,subnet-group-dev,pg-mysql-dev,og-mysql-dev,false,sg-45608,true,,,,,,,,,,,,,,
bucket-api-staging-865,s3-bucket,S3,ap-southeast-1,123456789012,staging,api,,,,,,,,,,,,,,,,,,,,,env:staging|team:api|managed:terraform,api@company.com,project-alpha,pci,,,,,,,,,,,,,,,,,,,,,,STANDARD,155446,5788,true,enabled,AES256,enabled,enabled,disabled,true,,,,
db-12393,rds-instance,RDS,us-east-1,123456789012,dev,ml,,,,io2,,,,,,,,,us-east-1b,,,,,,,,env:dev|team:ml|managed:terraform,ml@company.com,project-gamma,hipaa,,,,mysql,8.0.35,db.t3.medium,100,3000,false,7,03:00-04:00,0,true,true,true,subnet-group-dev,pg-mysql-dev,og-mysql-dev,false,sg-97944,true,,,,,,,,,,,,,,
alb-31477,application-load-balancer,ELB,eu-west-1,123456789012,staging,ml,,,,,,,,,,,,,,,vpc-37404,sg-83196,,,,,env:staging|team:ml|managed:terraform,ml@company.com,project-alpha,hipaa,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,internet-facing,dualstack,"eu-west-1a,eu-west-1b",true
i-63074,ec2-instance,EC2,ap-southeast-1,123456789012,staging,ml,t3.small,2,2,io2,16,Moderate,false,dedicated,,ami-493887,2025-09-09 19:49:43,stopped,ap-southeast-1a,subnet-92912,vpc-13393,sg-67875,54.4.4.227,10.0.121.238,role-ml-staging,true,env:staging|team:ml|managed:terraform,ml@company.com,project-beta,pci,false,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-17390,ec2-instance,EC2,us-west-2,123456789012,dev,api,m5.large,2,8,gp2,32,Moderate,true,dedicated,partition-pg-1,ami-932295,2025-02-20 19:49:43,stopped,us-west-2a,subnet-61283,vpc-95657,sg-68607,54.105.40.155,10.0.17.127,role-api-dev,true,env:dev|team:api|managed:terraform,api@company.com,project-beta,pci,true,group-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alb-23211,application-load-balancer,ELB,us-east-1,123456789012,staging,ml,,,,,,,,,,,,,,,vpc-99180,sg-94988,,,,,env:staging|team:ml|managed:terraform,ml@company.com,project-alpha,sox,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,internal,dualstack,"us-east-1a,us-east-1b",true
i-92807,ec2-instance,EC2,us-east-1,123456789012,dev,data,r5.xlarge,4,32,io2,64,Low,false,dedicated,partition-pg-1,ami-529360,2024-12-31 19:49:43,stopped,us-east-1a,subnet-53434,vpc-30860,sg-24768,54.39.213.100,10.0.174.180,role-data-dev,true,env:dev|team:data|managed:terraform,data@company.com,project-beta,hipaa,false,group-a,asg-data-dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db-71753,rds-instance,RDS,ap-southeast-1,123456789012,dev,ml,,,,io2,,,,,,,,,ap-southeast-1a,,,,,,,,env:dev|team:ml|managed:terraform,ml@company.com,project-alpha,none,,,,mysql,8.0.35,db.t3.medium,100,3000,false,14,03:00-04:00,3,true,false,true,subnet-group-dev,pg-mysql-dev,og-mysql-dev,false,sg-27273,true,,,,,,,,,,,,,,
bucket-platform-prod-545,s3-bucket,S3,us-east-1,123456789012,prod,platform,,,,,,,,,,,,,,,,,,,,,env:prod|team:platform|managed:terraform,platform@company.com,project-gamma,pci,,,,,,,,,,,,,,,,,,,,,,GLACIER,121492,9604,true,enabled,AES256,enabled,disabled,enabled,true,,,,
db-57984,rds-instance,RDS,ap-southeast-1,123456789012,staging,platform,,,,io2,,,,,,,,,ap-southeast-1b,,,,,,,,env:staging|team:platform|managed:terraform,platform@company.com,project-gamma,none,,,,postgres,15.4,db.m5.large,200,12000,true,7,04:00-05:00,2,true,true,false,subnet-group-staging,pg-postgres-staging,og-postgres-staging,false,sg-84268,true,,,,,,,,,,,,,,
i-32596,ec2-instance,EC2,us-west-2,123456789012,dev,ml,m5.2xlarge,8,32,gp3,128,High,true,dedicated,partition-pg-1,ami-528282,2025-01-12 19:49:43,stopped,us-west-2b,subnet-21238,vpc-71773,sg-27421,54.18.159.202,10.0.166.6,role-ml-dev,false,env:dev|team:ml|managed:terraform,ml@company.com,project-gamma,pci,true,group-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-32902,ec2-instance,EC2,ap-southeast-1,123456789012,prod,platform,t3.micro,2,1,io2,8,Moderate,true,default,cluster-pg-1,ami-632397,2024-11-16 19:49:43,running,ap-southeast-1b,subnet-69780,vpc-84392,sg-79310,54.150.58.88,10.0.31.253,role-platform-prod,true,env:prod|team:platform|managed:terraform,platform@company.com,project-beta,sox,false,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-78672,ec2-instance,EC2,eu-west-1,123456789012,prod,ml,t3.micro,2,1,io2,8,Moderate,true,default,partition-pg-1,ami-443218,2024-12-08 19:49:43,stopped,eu-west-1a,subnet-30482,vpc-88319,sg-29829,54.6.121.65,10.0.58.150,role-ml-prod,true,env:prod|team:ml|managed:terraform,ml@company.com,project-beta,pci,false,group-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-37539,ec2-instance,EC2,us-west-2,123456789012,staging,api,r5.xlarge,4,32,io2,64,High,true,dedicated,cluster-pg-1,ami-325799,2025-02-11 19:49:43,stopped,us-west-2a,subnet-54843,vpc-64695,sg-51078,54.234.99.89,10.0.1.114,role-api-staging,true,env:staging|team:api|managed:terraform,api@company.com,project-beta,none,true,group-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
