service_category,resource_id,region,cost,usage,usage_type,monthly_cost
EC2,i-0a1b2c3d4e5f6g7h8,us-east-1,245.80,730,BoxUsage:t3.large,245.80
EC2,i-9h8g7f6e5d4c3b2a1,us-west-2,492.00,730,BoxUsage:m5.xlarge,492.00
RDS,db-prod-001,us-east-1,580.50,730,InstanceUsage:db.r5.large,580.50
RDS,db-staging-001,eu-west-1,185.20,730,InstanceUsage:db.t3.medium,185.20
S3,s3-data-lake,us-east-1,95.75,2500,TimedStorage-ByteHrs,95.75
S3,s3-backup-vault,us-west-2,42.30,8000,TimedStorage-GlacierByteHrs,42.30
EC2,i-test-ec2-small,ap-southeast-1,18.45,730,BoxUsage:t3.micro,18.45
RDS,db-analytics-001,us-east-1,1250.00,730,InstanceUsage:db.m5.2xlarge,1250.00
S3,s3-logs-bucket,us-east-1,28.90,450,TimedStorage-INT-ByteHrs,28.90
EC2,i-batch-worker-01,eu-central-1,658.20,730,BoxUsage:c5.2xlarge,658.20
DataTransfer,ALL,global,1850.45,15500,DataTransfer-Out-Bytes,1850.45
EBS,ALL,us-east-1,425.80,1980,VolumeUsage,425.80
CloudWatch,ALL,global,85.20,2500000,MetricMonitorUsage,85.20
Lambda,ALL,us-east-1,142.50,8500000,Request-Duration,142.50
